"trial","ref_position","var_area","response","correct","rt"
1,"L",10.8437685472891,"R",TRUE,35.3250000476837
2,"R",8.40197437256575,"R",TRUE,1.56599998474121
3,"R",9.33507286570966,"L",TRUE,1.69000005722046
4,"L",13.2944519144949,"R",TRUE,1.99899983406067
5,"R",14.3039267179556,"L",TRUE,1.69999980926514
6,"R",13.7706177104264,"L",TRUE,9.60500001907349
7,"R",11.7338691910263,"L",TRUE,1.81700015068054
8,"L",14.2072771955281,"R",TRUE,3.32100009918213
9,"R",12.6204478072468,"L",TRUE,1.37800002098083
10,"R",13.9821349505801,"L",TRUE,1.40400004386902
11,"R",8.8693302909378,"L",FALSE,7.20799994468689
12,"R",10.0425493225921,"L",TRUE,2.88499999046326
13,"R",14.27928665746,"L",TRUE,1.37299990653992
14,"R",11.7215715218335,"L",TRUE,2.10500001907349
15,"R",13.5017971049529,"L",TRUE,1.00800013542175
16,"L",11.113698818488,"R",TRUE,1.62200021743774
17,"R",12.0731105608866,"L",TRUE,7.37800002098083
18,"R",11.1234170878306,"L",TRUE,1.48800015449524
19,"R",12.5074519282207,"L",TRUE,1.27999997138977
20,"L",14.0993905519135,"R",TRUE,1.48000001907349
21,"R",9.14931830880232,"L",TRUE,1.46600008010864
22,"L",11.616844906006,"R",TRUE,1.74300003051758
23,"L",11.2067136769183,"R",TRUE,1.6470000743866
24,"R",10.7925965425093,"L",TRUE,1.49699997901917
25,"L",9.24476016964763,"L",FALSE,1.27899980545044
26,"R",14.3711549870204,"L",TRUE,1.36100006103516
27,"L",12.2388543221168,"R",TRUE,0.644999980926514
28,"L",10.5545993736014,"R",TRUE,1.38100004196167
29,"L",12.1528417677619,"R",TRUE,1.48000001907349
